Address,Cuisine_Type,Cuisines,Features,Location,Meals,Price,Price_Range,Restaurant,Special_Diets,Segment,Cuisine_Category
"2900 Pepperell Pkwy, Opelika, AL 36801-6100",,,,AL 36801-6100,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"14 Perimeter Park South, Birmingham, AL 35243","American,Steakhouse,Bar","American, Steakhouse, Bar",,AL 35243,"Lunch, Dinner",$$ - $$$,$10 - $33,Saltgrass Steak House,,Bar/Club,Geography/Ethnic
"9770 Highway 69 S Ste G, Tuscaloosa, AL 35405-8781",Chinese,Chinese,,AL 35405-8781,"Lunch, Dinner",,,Lee Palace,,FSR,Geography/Ethnic
"5850 Valley Rd, Birmingham, AL 35235-8682",American,American,"Wheelchair Accessible, Seating",AL 35235-8682,"Lunch, Dinner",$,,Mango Tango Smoothies & Grill,,LSR,Geography/Ethnic
"2 Perimeter Park S, Birmingham, AL 35243-2329",American,American,"Takeout, Seating, Highchairs Available, Wheelchair Accessible, Table Service",AL 35243-2329,"Lunch, Dinner",$$ - $$$,,Johnny Rockets,,FSR,Geography/Ethnic
"5361 Highway 280, Birmingham, AL 35242-0307",Chinese,Chinese,"Wheelchair Accessible, Seating",AL 35242-0307,"Lunch, Dinner",$,,New China,,LSR,Geography/Ethnic
"104 17th St N, Birmingham, AL 35203-2027",,,,AL 35203-2027,"Breakfast, Lunch",$,,Z's Restaurant,,LSR,Food-Centric
"3340 Galleria Cir, Birmingham, AL 35244-2340","American,Bar,Pub","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Parking Available, Table Service","American, Bar, Pub",AL 35244-2340,"Lunch, Dinner",$$ - $$$,,On Tap Sports Cafe,,Bar/Club,Geography/Ethnic
"430 41st Street S Suite B, Birmingham, AL 35222-1937",,,,AL 35222-1937,Dinner,$$ - $$$,,The Marble Ring,,FSR,Food-Centric
"1709 4th Ave N # 4, Birmingham, AL 35203-2003",Barbecue,Barbecue,"Seating, Reservations",AL 35203-2003,"Lunch, Dinner",$,,Magnolia BBQ and Fish,,Bar/Club,Food-Centric
"2499 Rocky Ridge Rd, Birmingham, AL 35243-2862","Mexican,Vegetarian Friendly",Mexican,,AL 35243-2862,"Dinner, Lunch",$$ - $$$,,El Poblano Mexican Restaurant,Vegetarian Friendly,FSR,Geography/Ethnic
"348 Finley Ave W, Birmingham, AL 35204-1050","American,Steakhouse,Seafood","Takeout, Seating, Wheelchair Accessible","American, Steakhouse, Seafood, Barbecue",AL 35204-1050,"Lunch, Breakfast",$$ - $$$,,Smokehouse Steak & Seafood,,FSR,Geography/Ethnic
"808 20th St S Lobby Level, Birmingham, AL 35205-2752","American,Bar,Cafe","American, Bar, Cafe, Contemporary, Pub",,AL 35205-2752,"Lunch, Dinner, Brunch, Late Night, Drinks",$$ - $$$,$15 - $30,The Lab Bar and Kitchen,,Bar/Club,Geography/Ethnic
"2709 7th Ave S, Birmingham, AL 35233-3405","Bar,Pub","Bar, Pub","Outdoor Seating, Seating, Television, Wheelchair Accessible, Table Service, Live Music",AL 35233-3405,"Lunch, Dinner",$,,Tin Roof Bar,,Bar/Club,Beverage-Centric
"215 Lakeshore Pkwy, Birmingham, AL 35209-7108",,,,AL 35209-7108,,,,Costa's Famous Bar-B-Que,,FSR,Food-Centric
"1477 Gadsden Hwy #126, Birmingham, AL 35235-3130",Mexican,Mexican,"Wheelchair Accessible, Takeout, Seating, Table Service",AL 35235-3130,"Lunch, Dinner",$$ - $$$,,Habanero's Mexican Grill,,FSR,Geography/Ethnic
"1801 4th Ave S, Birmingham, AL 35233-1945",Chinese,Chinese,,AL 35233-1945,"Lunch, Dinner",$,,China Master Express,,LSR,Geography/Ethnic
"3150 Overton Rd, Birmingham, AL 35223-3809",,,,AL 35223-3809,"Breakfast, Lunch",,,Magic Muffins,,FSR,Food-Centric
"585 Brookwood Village, Birmingham, AL 35209",,,"Wheelchair Accessible, Reservations, Seating",AL 35209,"Lunch, Dinner",$,,Five Guys,,LSR,Food-Centric
"430 Green Springs Hwy, Birmingham, AL 35209-4945",Mexican,Mexican,"Seating, Wheelchair Accessible, Table Service",AL 35209-4945,"Lunch, Dinner",$$ - $$$,,Acapulco Bar & Grill,,FSR,Geography/Ethnic
"2416 S College St, Auburn, AL 36832-6920",,,,AL 36832-6920,,,,The Ice Cream Shop,,FSR,Food-Centric
"1821 2nd Ave N Pizitz Building, Birmingham, AL 35203-3156",Cafe,Cafe,,AL 35203-3156,,,,Waffle Works,,LSR,Beverage-Centric
"3120 Clairmont Ave S, Birmingham, AL 35205-1115",,,"Seating, Wheelchair Accessible, Table Service",AL 35205-1115,"Breakfast, Lunch",$,,Bogue's Restaurant,,LSR,Food-Centric
"920 Inverness Cors, Birmingham, AL 35242-3785","Bar,Pizza,Vegetarian Friendly","Pizza, Bar",,AL 35242-3785,,$$ - $$$,$15 - $25,Mellow Mushroom,"Vegetarian Friendly, Vegan Options",Bar/Club,Beverage-Centric
"830 1st Ave N, Birmingham, AL 35203-3008","American,Barbecue","American, Barbecue","Takeout, Seating, Parking Available, Free Off-Street Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards",AL 35203-3008,"Dinner, Lunch",$,,Rib-it-up,,Bar/Club,Geography/Ethnic
"613 Springville Rd, Birmingham, AL 35215-7401",Barbecue,Barbecue,Wheelchair Accessible,AL 35215-7401,"Lunch, Dinner",$$ - $$$,,Costa's Famous BBQ Sauce,,Bar/Club,Food-Centric
"1001 Cedar St, Birmingham, AL 35217-2905",American,American,,AL 35217-2905,,,,Cedar House Cafeteria,,FSR,Geography/Ethnic
"328 16th St N, Birmingham, AL 35203-1927",,,"Takeout, Wheelchair Accessible, Seating",AL 35203-1927,Lunch,$,,Mrs B's on Fourth,,LSR,Food-Centric
"212 29th St S, Birmingham, AL 35233-2827","Brew Pub,Pub","Brew Pub, Pub",,AL 35233-2827,,,,Lumbar,,Bar/Club,Beverage-Centric
"2825 Spring Ave SW, Decatur, AL 35601",Mexican,Mexican,,AL 35601,,,,La Monarca Supermarket,,FSR,Geography/Ethnic
"2120 6th Ave SE, Decatur, AL 35601-6510",American,American,,AL 35601-6510,"Lunch, Dinner",,,Arby's,,FSR,Geography/Ethnic
"3439 Colonnade Pkwy, Birmingham, AL 35243-3381","Chinese,Asian,Vegetarian Friendly","Chinese, Asian",,AL 35243-3381,"Lunch, Dinner",$$ - $$$,,Black Pearl Asian Cuisine,Vegetarian Friendly,FSR,Geography/Ethnic
"3670 Lorna Rd, Birmingham, AL 35216-5962","Mexican,Southwestern","Mexican, Southwestern","Takeout, Seating, Wheelchair Accessible",AL 35216-5962,"Lunch, Dinner",$,,Moe's Southwest Grill,,LSR,Geography/Ethnic
"1530 6th Ave SE Decatur Shopping Center, Decatur, AL 35601-4918",Mexican,Mexican,,AL 35601-4918,,,,La Guerrerense,,FSR,Geography/Ethnic
"1203 Courtyard Cir SW, Decatur, AL 35603-2698",Barbecue,Barbecue,,AL 35603-2698,,$,,Nash BBQ,,Bar/Club,Food-Centric
"3524 Deere Rd SE, Decatur, AL 35603-5532","American,Seafood,Barbecue","American, Seafood, Barbecue",,AL 35603-5532,"Lunch, Dinner, Drinks",$$ - $$$,$9 - $15,Moe’s Original BBQ,,Bar/Club,Geography/Ethnic
"4350 3rd Ct S, Birmingham, AL 35222-2801",Barbecue,Barbecue,,AL 35222-2801,"Breakfast, Lunch, Dinner",,,Lolo's BBQ,,Bar/Club,Food-Centric
"4360 Pinson Valley Pkwy, Birmingham, AL 35215-2910",,,,AL 35215-2910,,,,Garcia's Grill,,FSR,Food-Centric
"100 Frankfurt Cir Ste A, Birmingham, AL 35211-6970",Mexican,Mexican,,AL 35211-6970,"Lunch, Dinner",,,El Gringo Mexican Restaurant,,FSR,Geography/Ethnic
"1927 2nd Ave N, Birmingham, AL 35203-3605",,,,AL 35203-3605,"Lunch, Dinner",,,Chocolata,,FSR,Food-Centric
"3336 Rocky Ridge Plz, Birmingham, AL 35243-4448",American,American,Gift Cards Available,AL 35243-4448,,,,The Ridge,,FSR,Geography/Ethnic
"4411 3rd Ave S, Birmingham, AL 35222-2131","Bar,Pub","Bar, Pub",,AL 35222-2131,,,,Mom's Basement,,Bar/Club,Beverage-Centric
"433 Valley Ave, Birmingham, AL 35209-3805",Mexican,Mexican,"Parking Available, Television, Takeout, Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",AL 35209-3805,,,,Gordos,,FSR,Geography/Ethnic
"1208 6th Ave SE, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"2215 Danville Rd SW, Decatur, AL 35601-4604",Pizza,Pizza,,AL 35601-4604,,,,Little Caesars,,FSR,Food-Centric
"2512 Hwy 20 C, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"1126 6th Ave SE, Decatur, AL 35601-4010","American,Fast Food,Deli","American, Fast Food, Deli",,AL 35601-4010,"Breakfast, Lunch, Dinner",$$ - $$$,$5 - $20,MY Deli in MAPCO,,LSR,Geography/Ethnic
"4507 Riverview Pkwy, Birmingham, AL 35242-4886","American,Cajun & Creole,Bar","American, Bar, Cajun & Creole","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Table Service",AL 35242-4886,"Lunch, Dinner, Drinks",$$ - $$$,,Buffalo Wild Wings,,Bar/Club,Geography/Ethnic
"1807 Beltline Rd SW, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Taco Bell,,FSR,Food-Centric
"1820 6th Ave SE, Decatur, AL 35601",,,,AL 35601,"Lunch, Dinner",,,Domino's Pizza,,FSR,Food-Centric
"737 Wilson St NW Apt B, Decatur, AL 35601-1009",,,,AL 35601-1009,,,,Tasty Reds,,FSR,Food-Centric
"1214 Moulton St W, Decatur, AL 35601-2038",American,American,,AL 35601-2038,,,,Church's Chicken,,FSR,Geography/Ethnic
"1900 Second Ave Suite A, Decatur, AL 30032-4075",,Healthy,,AL 30032-4075,,,,Atlanta Premier Catering & Carry Out,,FSR,Food-Centric
"1024 6th Ave SE, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Dunkin',,FSR,Food-Centric
"4500 Valleydale Rd, Birmingham, AL 35242-4636",Mexican,Mexican,,AL 35242-4636,"Lunch, Dinner",,,Hacienda Mexican Grill,,FSR,Geography/Ethnic
"109 2nd Ave NE, Decatur, AL 35601-2303",,,,AL 35601-2303,"Lunch, Dinner",,,Josie's,,FSR,Food-Centric
"1024 6th Ave SE, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Baskin-Robbins,,FSR,Food-Centric
"1529 6th Ave Se, Decatur, AL 35601-4917",,,,AL 35601-4917,"Lunch, Dinner",,,Papa John's Pizza,,FSR,Food-Centric
"100 6th Ave SE, Decatur, AL 35601-3102","Mexican,Pizza,Fusion","Mexican, Pizza, Fusion",,AL 35601-3102,,,,WesBee's,,FSR,Geography/Ethnic
"2941 Point Mallard Pkwy SE, Decatur, AL 35603-5716",Mexican,Mexican,,AL 35603-5716,,,,Los Charros Mexican Restaurant,,FSR,Geography/Ethnic
"2618 Highway 31 S, Decatur, AL 35603-1506",,,,AL 35603-1506,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Food-Centric
"719 Bank St NE Suit A, Decatur, AL 35601-1609","American,Steakhouse,Seafood","American, Steakhouse, Seafood",,AL 35601-1609,,$$ - $$$,$7 - $24,Scotts grill,,FSR,Geography/Ethnic
"2502 Highway 31 S, Decatur, AL 35603-1504",,,,AL 35603-1504,"Breakfast, Lunch, Dinner",,,Chick-fil-A,,FSR,Food-Centric
"1821 Beltline Rd SW Suite C, Decatur, AL 35601",,,,AL 35601,"Lunch, Dinner",,,Chicken Salad Chick,,FSR,Food-Centric
"6th ave SE, Decatur, AL 35601",,,,AL 35601,,,,Best Wings Chicken & Waffles,,FSR,Food-Centric
"1668 Beltline Rd SW, Decatur, AL 35601-5505","Chinese,Asian,Szechuan","Chinese, Asian",Wheelchair Accessible,AL 35601-5505,"Lunch, Dinner",$,,New China Restaurant,,LSR,Geography/Ethnic
"104 12th Ave NW, Decatur, AL 35601-2069",,,,AL 35601-2069,,,,Nash Bar-B-Que,,FSR,Food-Centric
"1407 6th Ave SE, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"1801 Beltline Rd SW, Decatur, AL 35601-5501",,,,AL 35601-5501,"Breakfast, Lunch, Dinner",,,The Perch Coffeehouse & Cafe,,FSR,Food-Centric
"3023 Columbiana Rd, Birmingham, AL 35216-3506","American,Diner","American, Diner",,AL 35216-3506,,$,,Waffle House,,LSR,Geography/Ethnic
"1422 Beltline Sw, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Wendy's,,FSR,Food-Centric
"1648 Beltline Rd SW, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Krispy Kreme,,FSR,Food-Centric
"1225 Beltline Rd SW, Decatur, AL 35601-6201",,,,AL 35601-6201,,,,Jack's,,FSR,Food-Centric
"1800 McFarland Blvd E Ste 122, Tuscaloosa, AL 35404-5883",,,,AL 35404-5883,"Lunch, Dinner",,,Which Wich,,FSR,Food-Centric
"1236 Beltline Rd SW, Decatur, AL 35601-6202",,,,AL 35601-6202,,,,Captain D's Seafood Kitchen,,FSR,Food-Centric
"810 6th Ave NE, Decatur, AL 35601-2412",,,,AL 35601-2412,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Food-Centric
"1825 McFarland Blvd N Ste 7, Tuscaloosa, AL 35406-2251",Chinese,Chinese,,AL 35406-2251,"Lunch, Dinner",$,,Chang's Chinese Restaurant,,LSR,Geography/Ethnic
"210 MC Corvey Dr, Tuscaloosa, AL 35487-0001",,,,AL 35487-0001,,,,Raising Cane's Chicken Fingers,,FSR,Food-Centric
"2206 Veterans Memorial Pkwy, Tuscaloosa, AL 35404-4040",Mexican,Mexican,,AL 35404-4040,,,,La Michoacana,,FSR,Geography/Ethnic
"1301 McFarland Blvd NE, Tuscaloosa, AL 35406-2237","Mexican,Bar,Grill","Mexican, Bar, Grill, Pub",,AL 35406-2237,"Breakfast, Lunch, Dinner, Drinks",$$ - $$$,$6 - $16,La Bamba Mexican Grill,,Bar/Club,Geography/Ethnic
"1914 University Blvd, Tuscaloosa, AL 35401-1549",Sushi,Sushi,,AL 35401-1549,"Lunch, Dinner",,,Ajian Sushi,,FSR,Food-Centric
"915 Patriot Pkwy, Tuscaloosa, AL 35405-8790",,,,AL 35405-8790,"Lunch, Dinner",$,,Walton's,,LSR,Food-Centric
"1406 Beltline Rd. Suite B, Decatur, AL 35601",,,Gift Cards Available,AL 35601,"Lunch, Dinner",,,Papa Murphy's Pizza,,FSR,Food-Centric
"1300 University Blvd, Tuscaloosa, AL 35401-1632","Bar,Pub","Bar, Pub","Seating, Wheelchair Accessible",AL 35401-1632,Dinner,$$ - $$$,,The Houndstooth,,Bar/Club,Beverage-Centric
"1060 Fairfax Park, Tuscaloosa, AL 35406-2836","Mexican,Fast Food","Fast Food, Mexican",Wheelchair Accessible,AL 35406-2836,"Lunch, Dinner",$,,Taco Casa,,LSR,Geography/Ethnic
"1747 Skyland Blvd E Ste E, Tuscaloosa, AL 35405-4235","Chinese,Asian","Asian, Chinese","Wheelchair Accessible, Seating",AL 35405-4235,"Lunch, Dinner",$$ - $$$,,Buffet City,,FSR,Geography/Ethnic
"4800 Doris Pate Dr, Tuscaloosa, AL 35405-3557",American,American,"Takeout, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Table Service",AL 35405-3557,"Breakfast, Lunch, Dinner, Brunch",$$ - $$$,,Cracker Barrel,,FSR,Geography/Ethnic
"2427 University Blvd, Tuscaloosa, AL 35401-1545",Pub,Pub,,AL 35401-1545,,$,,Downtown Pub,,Bar/Club,Beverage-Centric
"1241 Point Mallard Pkwy SE Bldg a-4, Decatur, AL 35601-6521",,,,AL 35601-6521,,,,Pizza Hut Express,,FSR,Food-Centric
"4422 Old Birmingham Highway, Tuscaloosa, AL 35404",,,,AL 35404,"Breakfast, Lunch, Dinner",,,Wendy's,,FSR,Food-Centric
"1700 Greensboro Ave Ste 1, Tuscaloosa, AL 35401-4533",,,,AL 35401-4533,,,,Mediterranean Market and Restaurant,,FSR,Food-Centric
"611 15th St E, Tuscaloosa, AL 35401",American,American,,AL 35401,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Geography/Ethnic
"632 15th St, Tuscaloosa, AL 35401-4737",Seafood,Seafood,,AL 35401-4737,"Lunch, Dinner",,,Shark's Fish and Chicken,,FSR,Food-Centric
"4505 East Mcfarland Blvd, Tuscaloosa, AL 35401",,,,AL 35401,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"815 Skyland Blvd, Tuscaloosa, AL 35405",,,,AL 35405,"Breakfast, Lunch, Dinner",,,Taco Bell,,FSR,Food-Centric
"1306 University Blvd, Tuscaloosa, AL 35401-0641",,,,AL 35401-0641,,,,Philly Boyz,,FSR,Food-Centric
"804 Skyland Blvd, Tuscaloosa, AL 35405-3905",,,,AL 35405-3905,,,,Starbucks,,FSR,Food-Centric
"1414 10th Ave, Tuscaloosa, AL 35401-3304",Pizza,Pizza,,AL 35401-3304,"Lunch, Dinner",,,Little Caesars,,FSR,Food-Centric
"5001 Skyland Blvd E, Tuscaloosa, AL 35405-3536",,,,AL 35405-3536,"Breakfast, Lunch, Dinner",,,Waffle House,,FSR,Food-Centric
"636 15th St E, Tuscaloosa, AL 35401-3234","Chinese,Asian","Chinese, Asian","Takeout, Seating, Wheelchair Accessible",AL 35401-3234,"Lunch, Dinner",$,,Panda Express,,LSR,Geography/Ethnic
"1306 University Blvd Ste B, Tuscaloosa, AL 35401-0641",,,,AL 35401-0641,"Lunch, Dinner",,,Tut's Place,,FSR,Food-Centric
"2610 Stillman Blvd., Tuscaloosa, AL 35401",,,,AL 35401,"Breakfast, Lunch, Dinner",,,Taco Bell,,FSR,Food-Centric
"2308 4th St, Tuscaloosa, AL 35401-1038","Bar,Pub","Bar, Pub",Live Music,AL 35401-1038,,,,Rhythm and Brews,,Bar/Club,Beverage-Centric
"2928 Point Mallard Pkwy, Decatur, AL 35603",,,,AL 35603,"Breakfast, Lunch, Dinner",,,Taco Bell,,FSR,Food-Centric
"509 13th Ave, Tuscaloosa, AL 35401-1604",,,,AL 35401-1604,,,,Red Shed,,FSR,Food-Centric
"1111 Skyland Boulevard, Tuscaloosa, AL 35405",,,,AL 35405,"Lunch, Dinner",,,Kfc,,FSR,Food-Centric
"1425 McFarland Blvd, Northport, AL 35476-3237",,,,AL 35476-3237,,,,Chongwah Express,,FSR,Food-Centric
"1701 McFarland Blvd E, Tuscaloosa, AL 35404-5824","American,Bar,Pub","Bar, American, Pub","Seating, Wheelchair Accessible, Takeout, Table Service",AL 35404-5824,"Lunch, Dinner",$$ - $$$,,Applebee's,,Bar/Club,Geography/Ethnic
"4720 University Blvd East Suite E, Tuscaloosa, AL 35404",,,,AL 35404,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"9730 A Hwy 69 S Ste A, Tuscaloosa, AL 35405",,,,AL 35405,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"350 McFarland Blvd, Northport, AL 35476-3328",Pizza,Pizza,,AL 35476-3328,"Lunch, Dinner",,,Domino's Pizza,,FSR,Food-Centric
"21 McFarland Blvd, Northport, AL 35476-3349",,,,AL 35476-3349,"Lunch, Dinner",$,,Zaxbys of Northport,,LSR,Food-Centric
"1535 Hackberry Ln, Tuscaloosa, AL 35401-4773",,,,AL 35401-4773,,,,Teriyaki,,FSR,Food-Centric
"2000 82 By-Pass, Northport, AL 35476",,,,AL 35476,"Breakfast, Lunch, Dinner",$,,McDonald's,,LSR,Food-Centric
"3808 Mcfarland Blvd, Tuscaloosa, AL 35405",,,,AL 35405,"Breakfast, Lunch, Dinner",,,Burger King,,FSR,Food-Centric
"6570 Highway 69 S Ste A, Tuscaloosa, AL 35405-6209",Fast Food,Fast Food,,AL 35405-6209,"Lunch, Dinner",$$ - $$$,$6 - $50,American Deli,,LSR,Food-Centric
"925 Hargrove Rd, Tuscaloosa, AL 35401-4813",,,,AL 35401-4813,,,,Thomas Rib Shack #2,,FSR,Food-Centric
"1925 McFarland Blvd, Northport, AL 35476-2923",,,,AL 35476-2923,,$,,Waffle House,,LSR,Food-Centric
"5400 McFarland Blvd E, Tuscaloosa, AL 35405-3822",,,,AL 35405-3822,,,,The Ice Cream Shop,,FSR,Food-Centric
"1507 Crescent Ridge Rd NE, Tuscaloosa, AL 35404-2048",Barbecue,Barbecue,,AL 35404-2048,,,,Gold Star Cafe' Smokin Kitchen,,Bar/Club,Food-Centric
"4751-C Rice Mine Rd NE, Tuscaloosa, AL 35406",,,,AL 35406,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"3615 McFarland Blvd E Suite 101, Tuscaloosa, AL 35405",,,,AL 35405,"Breakfast, Lunch, Dinner",,,Dunkin',,FSR,Food-Centric
"515 15th St, Tuscaloosa, AL 35401",Pizza,Pizza,,AL 35401,"Lunch, Dinner",,,Pizza Hut,,FSR,Food-Centric
"1501 Skyland Blvd E Wal-Mart #715, Tuscaloosa, AL 35405-4231",,,,AL 35405-4231,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"4900 Skyland Blvd, Tuscaloosa, AL 35405",,,,AL 35405,"Breakfast, Lunch, Dinner",$,,Burger King,,LSR,Food-Centric
"2500 Highway 82 Bypass, Northport, AL 35476",Pizza,Pizza,,AL 35476,"Lunch, Dinner",,,Pizza Hut,,FSR,Food-Centric
"2320 University Blvd, Tuscaloosa, AL 35401-1544",,,,AL 35401-1544,,,,The Ice Cream Shop,,FSR,Food-Centric
"6718 Hwy 69 S, Tuscaloosa, AL 35405",,,,AL 35405,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Food-Centric
"4421 Highway 43 N, Northport, AL 35473-2424",,,,AL 35473-2424,"Lunch, Dinner",,,The Front Porch Restaurant Northport,,FSR,Food-Centric
"4720 McFarland Blvd E, Tuscaloosa, AL 35405-3808",,,,AL 35405-3808,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"4400 Highway 43 N, Northport, AL 35473-2425",Barbecue,Barbecue,,AL 35473-2425,,,,Hicks Barbeque,,Bar/Club,Food-Centric
"2501 University Blvd. E., Tuscaloosa, AL 35404",,,,AL 35404,"Lunch, Dinner",,,Church's Chicken,,FSR,Food-Centric
"1509 Dinah Washington Ave, Tuscaloosa, AL 35401-4239",,,,AL 35401-4239,"Lunch, Dinner",,,Flavaz Seafood & Soul Food Restaurant,,FSR,Food-Centric
"1330 Hargrove Rd, Tuscaloosa, AL 35401-5748","Bar,Pub","Bar, Pub",,AL 35401-5748,,,,Harry's Bar,,Bar/Club,Beverage-Centric
"5101 Oscar Baxter Dr, Tuscaloosa, AL 35405-3665",,,,AL 35405-3665,"Lunch, Dinner",,,Quiznos,,FSR,Food-Centric
"2326 4th St, Tuscaloosa, AL 35401-1038",,,,AL 35401-1038,,,,The Wheelhouse Sports Pub,,FSR,Food-Centric
"3160 15th Street, Tuscaloosa, AL 35401",,,,AL 35401,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"Stadium Drive & 8th AVE, Tuscaloosa, AL 35487-0001",,,,AL 35487-0001,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"160 McCorvey Dr, Tuscaloosa, AL 35487",,,,AL 35487,"Breakfast, Lunch, Dinner",,,Dunkin',,FSR,Food-Centric
"1735 Culver Rd, Tuscaloosa, AL 35401-2636",,,,AL 35401-2636,,,,Goodtimes,,FSR,Food-Centric
"1208 University Blvd, Tuscaloosa, AL 35401-1630",,,,AL 35401-1630,,,,Quick Grill,,FSR,Food-Centric
"1800 McFarland Blvd. E. Suite 508, Tuscaloosa, AL 35404",,,Gift Cards Available,AL 35404,"Lunch, Dinner",,,Chuck E. Cheese,,FSR,Food-Centric
"2217 University Blvd, Tuscaloosa, AL 35401-1541","Bar,Barbecue,Pub","Bar, Barbecue, Pub",,AL 35401-1541,,$$ - $$$,$10 - $22,Que'd Inc,,Bar/Club,Beverage-Centric
"1759 Skyland Blvd E, Tuscaloosa, AL 35405-4235",,,Gift Cards Available,AL 35405-4235,"Lunch, Dinner",,,Aces Restaurant,,FSR,Food-Centric
"2515 Paul Bryant Dr, Tuscaloosa, AL 35401",,,,AL 35401,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Food-Centric
"1701 McFarland Blvd E, Tuscaloosa, AL 35404-5824","Italian,Pizza","Italian, Pizza",,AL 35404-5824,,,,Sbarro,,FSR,Geography/Ethnic
"415 15th St, Tuscaloosa, AL 35401-3552",,,,AL 35401-3552,"Lunch, Dinner",,,Domino's Pizza,,FSR,Food-Centric
"2520 Stillman Blvd, Tuscaloosa, AL 35401-2202",,,,AL 35401-2202,"Breakfast, Lunch, Dinner",,,Dunkin',,FSR,Food-Centric
"5279 US Highway Brook Highland, 280 Suite B, Birmingham, AL 35242","American,Bar,Pub","American, Bar, Pub","Takeout, Seating, Wheelchair Accessible, Serves Alcohol",AL 35242,"Lunch, Dinner, Brunch",$$ - $$$,,The Boot,,Bar/Club,Geography/Ethnic
"1306 University Blvd, Tuscaloosa, AL 35401-0641","American,Bar,Pub,Beer restaurants","American, Bar, Pub, Beer restaurants",,AL 35401-0641,,,,VooDoo Wing Co.,,Bar/Club,Geography/Ethnic
"505 15th St E Ste A, Tuscaloosa, AL 35401",,,,AL 35401,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"2502 12th St, Tuscaloosa, AL 35401",,,,AL 35401,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"2711 39th St, Tuscaloosa, AL 35401-7016",,,,AL 35401-7016,"Lunch, Dinner",,,Missy's Taste of Heaven,,FSR,Food-Centric
